title,artist,Lyrics,top genre
What Makes You Beautiful,One Direction,"[Verse 1: Liam]
You're insecure, don't know what for
You're turning heads when you walk through the door
Don't need makeup to cover up
Being the way that you are is enough

[Pre-Chorus: Harry]
Everyone else in the room can see it
Everyone else but you

[Chorus: All & Harry]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh, oh, you don't know you're beautiful
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, you don't know you're beautiful
That's what makes you beautiful

[Verse 2: Zayn]
So c-come on, you got it wrong
To prove I'm right, I put it in a song
I don't know why you're being shy
And turn away when I look into your eyes

[Pre-Chorus: Harry]
Everyone else in the room can see it
Everyone else but you

[Chorus: All & Harry & (Zayn)]
Baby, you light up my world like nobody else (Nobody else)
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh, oh, you don't know you're beautiful (Oh)
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, you don't know you're beautiful
That's what makes you beautiful

[Bridge: All]
Na na na na na na na na na na na na na na na
Na na na na na na na na na na na na na na na

[Breakdown: Harry]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful

[Chorus: All & Harry & (Zayn)]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground (ground), it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful (Beautiful)
If only you saw what I can see
You'll understand why I want you so desperately (Desperately)
Right now I'm looking at you and I can't believe
You don't know, oh-oh, you don't know you're beautiful
Oh-oh-oh, you don't know you're beautiful, oh-oh
That's what makes you beautiful

[Written By Savan Kotecha]",boy band
I Knew You Were Trouble.,Taylor Swift,"[Intro]

[Verse 1]
Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me, you found me
I guess you didn't care, and I guess I liked that
And when I fell hard, you took a step back
Without me, without me, without me

[Pre-Chorus]
And he's long gone, when he's next to me
And I realize the blame is on me

[Chorus]
'Cause I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground
Oh, oh-oh
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble

[Verse 2]
No apologies, he'll never see you cry
Pretend he doesn't know
That he's the reason why
You're drowning, you're drowning
You're drowning
And I heard you moved on
From whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see
Now I see

[Pre-Chorus]
He was long gone when he met me
And I realize the joke is on me, hey!

[Chorus]
I knew you were trouble when you walked in (oh)
So, shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been (yeah)
Now I'm lying on the cold hard ground
Oh, oh-oh (yeah)
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble

[Bridge]
And the saddest fear
Comes creeping in
That you never loved me
Or her, or anyone, or anything, yeah!

[Chorus]
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been (never been)
'Til you put me down, oh
I knew you were trouble when you walked in
(Knew it right there)
So, shame on me now (knew it right there)
Flew me to places I'd never been (ooh)
Now I'm lying on the cold hard ground
Oh, oh-oh
Trouble, trouble, trouble (oh)
Oh, oh-oh
Trouble, trouble, trouble

[Outro]
I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble

[Outro]",pop
Call Me Maybe,Carly Rae Jepsen,"[Verse 1]
I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

[Pre-Chorus]
Your stare was holding
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Verse 2]
You took your time with the call
I took no time with the fall
You gave me nothing at all
But still you're in my way
I beg and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

[Pre-Chorus]
Your stare was holding
Ripped jeans, skin was showing
Hot night, wind was blowing
Where you think you're going, baby?

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Bridge]
Before you came into my life, I missed you so bad
I missed you so bad
I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
I missed you so, so bad

[Pre-Chorus]
It's hard to look right at you, baby
But here's my number, so call me maybe

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Outro]
Before you came into my life, I missed you so bad
I missed you so bad
I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
So call me maybe",canadian pop
Love You Like A Love Song,Selena Gomez & The Scene,"[Verse 1]
It's been said and done
Every beautiful thought's been already sung
And I guess right now, here's another one
So your melody will play on and on
With the best of 'em
You are beautiful
Like a dream come alive, incredible
A centerfold miracle, lyrical
You saved my life again
And I want you to know, baby

[Chorus]
I, I love you like a love song, baby
I, I love you like a love song, baby
I, I love you like a love song, baby
And I keep hitting repeat-peat-peat-peat-peat-peat (Oh)
I, I love you like a love song, baby (Oh)
I, I love you like a love song, baby (Oh)
I, I love you like a love song, baby (Oh)
And I keep hitting repeat-peat-peat-peat-peat-peat

[Verse 2]
Constantly
Boy, you play through my mind like a symphony
There's no way to describe what you do to me
You just do to me
What you do
And it feels like I've been rescued
I've been set free
I am hypnotized by your destiny
You are magical, lyrical, beautiful
You are
And I want you to know, baby

[Chorus]
I, I love you like a love song, baby
I, I love you like a love song, baby
I, I love you like a love song, baby
And I keep hitting repeat-peat-peat-peat-peat-peat (Oh)
I, I love you like a love song, baby
I, I love you like a love song, baby
I, I love you like a love song, baby (I love you)
(I love you, like a love song)
And I keep hitting repeat-peat-peat-peat-peat-peat

[Bridge]
No one compares
You stand alone to every record I own
Music to my heart, that's what you are
A song that goes on and on

[Chorus]
I, I love you like a love song, baby
I, I love you like a love song, baby (I love you)
I, I love you like a love song, baby (I love you)
And I keep hitting repeat-peat-peat-peat-peat-peat
(Like a love song, like a love song)
I, I love you like a love song, baby
I, I love you like a love song, baby
I, I love you like a love song, baby (I love you)
I love you like a love song",dance pop
Set Fire to the Rain,Adele,"[Produced by Fraser T Smith]

[Verse 1]
I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

[Pre-Chorus]
But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

[Verse 2]
When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better

[Pre-Chorus]
'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name
I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Bridge]
Sometimes, I wake up by the door
That heart you caught must be waiting for you
Even now, when we're already over
I can't help myself from looking for you

[Chorus]
I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name
I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Outro]
Oh, oh, no
Let it burn
Oh, oh, oh
Let it burn
Let it burn",british soul
We Are Never Ever Getting Back Together,Taylor Swift,"[Verse 1]
I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed ""space"" (what?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you""

[Pre-Chorus 1]
Ooh-ooh-ooh-ooh-ooh
We called it off again last night, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever getting back together
Like, ever

[Verse 2]
I'm really gonna miss you picking fights
And me, falling for it, screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine

[Pre-Chorus 2]
Ooh-ooh-ooh-ooh-ooh
You called me up again tonight, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever (ever) getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me)
But we are never, ever, ever, ever getting back together

[Post-Chorus]
Ooh-ooh-ooh-ooh-ooh (yeah)
Ooh-ooh-ooh-ooh-ooh (yeah)
Ooh-ooh-ooh-ooh-ooh (yeah)
Oh-oh-oh

[Bridge]
I used to think that we were forever, ever
And I used to say, ""Never say never""
Ugh, so he calls me up and he's like, ""I still love you""
And I'm like, ""I just- I mean, this is exhausting, you know?
Like, we are never getting back together, like, ever""

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever (ooh) getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever getting back together

[Outro]
We (ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)
Getting back together
We (ooh-ooh-ooh-ooh-ooh, oh, oh, yeah)
Getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me)
But we are never, ever, ever, ever getting back together",pop
Stronger (What Doesn't Kill You),Kelly Clarkson,"[Verse 1]
You know the bed feels warmer
Sleepin' here alone (Sleepin' here alone)
You know I dream in color
And do the things I want (Do the things I want)

[Pre-Chorus 1]
You think you got the best of me
Think you've had the last laugh
Bet you think that everything good is gone
Think you left me broken down
Think that I'll come running back
Baby, you don't know me, 'cause you're dead wrong

[Chorus]
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over 'cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself, and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

[Verse 2]
You heard that I was starting over with someone new
They told you I was moving on and over you

[Pre-Chorus 2]
You didn't think that I'd come back
I'd come back swinging
You tried to break me, but you see

[Chorus]
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over 'cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself, and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

[Bridge]
Thanks to you, I got a new thing started
Thanks to you, I'm not the broken-hearted
Thanks to you I'm finally thinkin' 'bout me
You know in the end, the day you left was just my beginning
In the end

[Chorus]
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over 'cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself, and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone (What doesn't kill you)
What doesn't kill you makes you stronger, stronger
Just me, myself, and I (What doesn't kill you)
What doesn't kill you makes you stronger (Stronger)
Stand a little taller (Taller)
Doesn't mean I'm lonely when I'm alone (What doesn't kill you)

[Outro]
When I'm alone",dance pop
Starships,Nicki Minaj,"[Intro]
RedOne
Uh

[Verse 1]
Let's go to the beach, each
Let's go get a wave
They say what they gonna say
Have a drink, clink, found the Bud Light
Bad bitches, like me, is hard to come by
The patron own, let's go get it on
The zone on, yes, I'm in the zone
Is it two, three? Leave a good tip
I'ma blow off my money and don't give two shits, oh-oh

[Pre-Chorus]
I'm on the floor, floor
I love to dance
So give me more, more
'Til I can't stand
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka

[Verse 2]
Jump in my hoopty-hoopty-hoop
I own that
And I ain't payin' my rent this month
I owe that
But fuck who you want, and fuck who you like
Dancehall life, there's no end in sight
Twinkle, twinkle little star
Now everybody let me hear you say ray, ray, ray
Now spend all your money, 'cause today payday
And if you're a G, you a G-G-G
My name is Onika, you can call me Nicki

[Pre-Chorus]
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka",dance pop
One More Night,Maroon 5,"[Intro]
Ooh, ooh ooh ooh, ooh ooh, ooh ooh
Ooh, ooh ooh ooh, ooh ooh, ooh ooh

[Verse 1]
You and I go hard at each other like we're going to war
You and I go rough, we keep throwing things and slamming the doors
You and I get so damn dysfunctional, we stopped keeping score
You and I get sick, yeah, I know that we can't do this no more

[Pre-Chorus]
Yeah but baby, there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo
And now I'm feeling stupid, feeling stupid crawling back to you

[Chorus]
So I cross my heart, and I hope to die
That I'll only stay with you one more night
And I know I've said it a million times
But I'll only stay with you one more night

[Verse 2]
Try to tell you ""no"", but my body keeps on telling you ""yes""
Try to tell you ""stop"", but your lipstick got me so out of breath
I'll be waking up in the morning, probably hating myself
And I'll be waking up, feeling satisfied, but guilty as hell

[Pre-Chorus]
Yeah but baby, there you go again, there you go again, making me love you (Making me love you)
Yeah, I stopped using my head, using my head
Let it all go (Let it all go)
Got you stuck on my body, on my body like a tattoo (Like a tattoo, yeah)
And now I'm feeling stupid, feeling stupid crawling back to you

[Chorus]
So I cross my heart, and I hope to die (yeah)
That I'll only stay with you one more night (oh)
And I know I've said it a million times (yeah)
But I'll only stay with you one more night (yeah)

[Bridge]
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night (whoa, yeah)
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night
Oh yeah yeah

[Pre-Chorus]
But baby, there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo, yeah, yeah, yeah, yeah

[Chorus]
So I cross my heart, and I hope to die
(Oh oh oh oh, oh oh oh oh)
That I'll only stay with you one more night
(Oh oh oh oh oh oh)
And I know I've said it a million times
(Oh, I've said it a million times)
But I'll only stay with you one more night
(Yeah, baby, give me one more night)
So I cross my heart and I hope to die (yeah, yeah)
That I'll only stay with you one more night (yeah, yeah)
And I know I've said it a million times (yeah, yeah)
But I'll only stay with you one more night (yeah, yeah)",pop
Good Time,Owl City,"[Intro: Adam Young & Carly Rae Jepsen]
Hmm-mmm-mmm
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh
It's always a good time

[Verse 1: Adam Young & (Carly Rae Jepsen)]
Woke up on the right side of the bed
What's up with this Prince song inside my head?
Hands up, if you're down to get down tonight (Hmm-mmm-mmm)
'Cause it's always a good time
Slept in all my clothes, like I didn't care
Hopped into a cab, take me anywhere
I'm in if you're down to get down tonight
'Cause it's always a good time

[Pre-Chorus: Adam Young & Carly Rae Jepsen, Both]
Good morning and goodnight
I wake up at twilight
It's gonna be alright
We don't even have to try, it's always a good time (Woo!)

[Chorus: Adam Young & Carly Rae Jepsen, Both]
Whoa-oh-oh-oh, oh-oh-oh
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh
We don't even have to try, it's always a good time
(Good time, good time, it's always a good time)
(Whoa-oh-oh-oh)

[Verse 2: Carly Rae Jepsen]
Freaked out, dropped my phone in the pool again
Checked out of my room, hit the ATM
Let's hang out, if you're down to get down tonight
'Cause it's always a good time

[Pre-Chorus: Adam Young & Carly Rae Jepsen, Both]
Good morning and goodnight
I wake up at twilight
It's gonna be alright
We don't even have to try, it's always a good time (Woo!)

[Chorus: Adam Young & Carly Rae Jepsen]
Whoa-oh-oh-oh, oh-oh-oh
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh
We don't even have to try, it's always a good time
Whoa-oh-oh-oh, oh-oh-oh
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh
We don't even have to try, it's always a good time

[Bridge: Adam Young & Carly Rae Jepsen, (Minneapolis Youth Chorus)]
Doesn't matter when
It's always a good time then
Doesn't matter where
It's always a good time there
Doesn't matter when
It's always a good time then
(It's always a good time!)

[Chorus: Adam Young & Carly Rae Jepsen]
Whoa-oh-oh-oh, oh-oh-oh
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh
We don't even have to try, it's always a good time
Whoa-oh-oh-oh, oh-oh-oh (Doesn't matter where)
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh (Doesn't matter where)
We don't even have to try, it's always a good time

[Outro: Minneapolis Youth Chorus]
Whoa-oh-oh-oh, oh-oh-oh
Whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh, oh-oh-oh",pop
Glad You Came,The Wanted,"[Chorus: Max George]
The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came (Came, came, came)

[Verse: Nathan Sykes]
You cast a spell on me, spell on me
You hit me like the sky fell on me, fell on me
And I decided you look well on me, well on me
So let's go somewhere no one else can see
You and me

[Pre-Chorus: Tom Parker]
Turn the lights out now
Now, I'll take you by the hand
Hand you another drink
Drink it if you can
Can you spend a little time?
Time is slipping away
Away from us, so stay
Stay with me, I can make
Make you glad you came

[Chorus: All]
The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came
I'm glad you came

[Verse: Siva Kaneswaran]
You cast a spell on me, spell on me
You hit me like the sky fell on me, fell on me
And I decided you look well on me, well on me
So let's go somewhere no one else can see
You and me

[Pre-Chorus: Nathan Sykes]
Turn the lights out now
Now, I'll take you by the hand
Hand you another drink
Drink it if you can
Can you spend a little time?
Time is slipping away
Away from us, so stay
Stay with me, I can make
Make you glad you came

[Chorus: All]
The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came
I'm glad you came

[Bridge: All]
(Oh, oh, oh)
I'm glad you came
So glad you came
I'm glad you came
I'm glad you came

[Chorus: Max George]
The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came
I'm glad you came",boy band
Beauty And A Beat,Justin Bieber,"[Intro: Nicki Minaj]
Yeah, Young Money, Nicki Minaj, Justin, rrr

[Verse 1: Justin Bieber]
Show you off
Tonight, I wanna show you off (Ayy-ayy-ayy)
What you got
A billion could've never bought (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber]
'Cause all I need is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do

[Verse 2: Justin Bieber]
Body rock
Girl, I can feel your body rock (Ayy-ayy-ayy)
Take a bow
You're on the hottest ticket now, ooh (Ayy-ayy-ayy)

[Pre-Chorus: Justin Bieber]
We gonna party like it's 3012 tonight
I want to show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya

[Chorus: Justin Bieber]
'Cause all I need is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby, do it like you do

[Verse 3: Nicki Minaj]
Uh, uh
In time, ink lines
Bitches couldn't get on my incline
World tours, it's mine
Ten little letters on a big sign
Justin Bieber, you know I'ma hit 'em with the ether
Buns out, weiner, but I gotta keep an eye out for Selener
Beauty, beauty and the beast
Beauty from the East
Beautiful confessions of the priest
Beast, beauty from the streets, beat will get deceased
Every time Beauty on the beat eats

[Break: Justin Bieber & Nicki Minaj]
Body rock (Yeah, yeah, yeah)
Girl, I wanna feel your body rock (Let's go, let's go)

[Chorus: Justin Bieber]
'Cause all (All I need is love), I need is a beauty and a beat
Who can make my life complete (Whoa-oh-oh)
It's all 'bout you (All I need is you)
When the music makes you move
Baby, do it like you do",canadian pop
Some Nights,fun.,"[Chorus]
Some nights, I stay up cashing in my bad luck
Some nights, I call it a draw
Some nights, I wish that my lips could build a castle
Some nights, I wish they'd just fall off
But I still wake up, I still see your ghost
Oh, Lord, I'm still not sure what I stand for, oh
(Oh-ooh-whoa) What do I stand for?
(Oh-ooh-whoa) What do I stand for?
Most nights, I don't know anymore

[Refrain]
Oh-whoa, oh-ooh-whoa-oh
Oh-ooh-whoa-oh, oh-oh
Oh-whoa, oh-ooh-whoa-oh
Oh-ooh-whoa-oh, oh-oh

[Verse 1]
This is it, boys, this is war
(Oh-whoa, oh-ooh-whoa-oh)
What are we waiting for?
(Oh-ooh-whoa-oh, oh-oh)
Why don't we break the rules already?
I was never one to believe the hype
(Oh-whoa, oh-ooh-whoa-oh)
Save that for the black and white
(Oh-ooh-whoa-oh, oh-oh)
Try twice as hard and I'm half as liked
But here they come again to jack my style

[Bridge]
And that's alright (That's Alright)
I found a martyr in my bed tonight
She stops my bones from wondering
Just who I, who, I, who I am
Oh, who am I? Mmm, mmm

[Chorus]
Well, some nights, I wish that this all would end
'Cause I could use some friends for a change
And some nights, I'm scared you'll forget me again
Some nights, I always win (I always win)
But I still wake up, I still see your ghost
Oh Lord, I'm still not sure what I stand for, oh
(Oh-ooh-whoa-oh) What do I stand for?
(Oh-ooh-whoa-oh) What do I stand for?
Most nights, I don't know

[Bridge]
(Oh, come on) So this is it?
I sold my soul for this?
Washed my hands of that for this?
I miss my mom and dad for this?
(Oh, come on) No, when I see stars, when I s-
When I see stars, that's all they are
When I hear songs, they sound like a swan
So come on, oh come on, oh come on
Oh come on

[Verse 2]
Well, that is it, guys, that is all
(Oh-whoa, oh-ooh-whoa-oh)
Five minutes in, and I'm bored again
(Oh-ooh-whoa-oh, oh-oh)
Ten years of this, I'm not sure if anybody understands
This one is not for the folks at home
(Oh-whoa, oh-ooh-whoa-oh)
Sorry to leave, Mom, I had to go
(Oh-ooh-whoa-oh, oh-oh)
Who the fuck wants to die alone
All dried up in the desert sun?

[Bridge]
My heart is breaking for my sister
And the con that she called ""love""
And then I look into my nephew's eyes
Man, you wouldn't believe the most amazing things
That can come from some terrible nights

[Refrain]
Oh-whoa, oh-ooh-whoa-oh
Oh-ooh-whoa-oh, oh-oh
Oh-whoa, oh-ooh-whoa-oh
Oh-ooh-whoa-oh, oh-oh

[Outro]
The other night, you wouldn't believe
The dream I just had about you and me
I called you up, but we'd both agree
It's for the best you didn't listen
It's for the best we get our distance, oh
For the best you didn't listen
It's for the best we get our distance, oh",baroque pop
Boyfriend,Justin Bieber,"[Verse 1]
If I was your boyfriend, I’d never let you go
I could take you places you ain’t never been before
Baby, take a chance, or you’ll never ever know
I got money in my hands that I’d really like to blow
Swag swag swag, on you
Chillin' by the fire while we eating fondue
I dunno about me, but I know about you
So say hello to falsetto in three, two, swag

[Pre-Chorus]
I’d like to be everything you want
Hey girl, let me talk to you

[Chorus]
If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you’d never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I’d never let you go, I’d never let you go

[Verse 2]
Tell me what you like, yeah, tell me what you don’t
I could be your Buzz Lightyear, fly across the globe
I don’t never wanna fight, yeah, you already know
I‘ma make you shine bright, like you’re laying in the snow, burr
Girlfriend, girlfriend, you could be my girlfriend
You could be my girlfriend until the-the-the world ends
Make you dance, do a spin, and a twirl, and
Voice goin' crazy on this hook, like a whirl wind
Swaggy

[Pre-Chorus]
I’d like to be everything you want
Hey girl, let me talk to you

[Chorus]
If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you’d never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I’d never let you go, I’d never let you go

[Bridge]
So give me a chance, ‘cause you’re all I need, girl
Spend a week with your boy, I’ll be calling you my girlfriend
If I was your man (If I was your man), I’d never leave you, girl
I just wanna love and treat you right

[Chorus]
If I was your boyfriend, I'd never let you go (Oh yeah)
Keep you on my arm, girl, you’d never be alone (Never be alone)
And I could be a gentleman (A gentleman, ooh), anything you want
If I was your boyfriend (Boyfriend), I’d never let you go
I’d never let you go (If I was your boyfriend)

[Outro]
(Uh) Na-na-na (Yeah), na-na-na, (Uh) na na na, yeah, girl
(Uh) Na-na-na (Yeah), na-na-na, yeah, if I was your boyfriend
(Uh) Na-na-na (Yeah), na-na-na, (Uh) na na na, hey
(Uh) Na-na-na (Yeah), na-na-na, hey, if I was your boyfriend",canadian pop
Part Of Me,Katy Perry,"[Verse 1]
Days like this, I want to drive away
Pack my bags and watch your shadow fade
You chewed me up and spit me out
Like I was poison in your mouth
You took my light, you drained me down
But that was then and this is now
Now look at me

[Chorus]
This is the part of me
That you’re never gonna ever take away from me, no
This is the part of me
That you’re never gonna ever take away from me, no
Throw your sticks and your stones
Throw your bombs and your blows
But you’re not gonna break my soul
This is the part of me
That you’re never gonna ever take away from me, no

[Verse 2]
I just wanna throw my phone away
Find out who is really there for me
You ripped me off, your love was cheap
Was always tearing at the seams
I fell deep, you let me drown
But that was then and this is now
Now look at me

[Chorus]
This is the part of me
That you’re never gonna ever take away from me, no
This is the part of me
That you’re never gonna ever take away from me, no
Throw your sticks and your stones
Throw your bombs and your blows
But you’re not gonna break my soul
This is the part of me
That you’re never gonna ever take away from me, no

[Bridge]
Now look at me, I’m sparkling
A firework, a dancing flame
You won’t ever put me out again
I’m glowing, oh whoa
So you can keep the diamond ring
It don't mean nothing anyway
In fact you can keep everything
Yeah, yeah, except for me

[Chorus]
This is the part of me
That you’re never gonna ever take away from me, no
This is the part of me
That you’re never gonna ever take away from me, no (Away from me)
Throw your sticks and your stones
Throw your bombs and your blows
But you’re not gonna break my soul (My soul)
This is the part of me
That you’re never gonna ever take away from me, no

[Outro]
This is the part of me (No)
Away from me (No)
This is the part of me, me, me, me, me, me, me, me, me
No
Throw your sticks and your stones
Throw your bombs and your blows
But you’re not gonna break my soul
This is the part of me
That you’re never gonna ever take away from me, no",dance pop
